"","Districtcode","Wardcode","Wardname","Population2011Census.x","Crimerate","Openspace","hhSocialRented","JobSeekers","Noqual","Carsperhousehold","LifeExpectancy","Children","Greaterthan65","nonwhite","NotBorninUK","NotEnglishspeaking"
"155"," 00BB","00BBGK","Newham - Forest Gate North",16257,90.8,13.8,28.9,8.7,17.8,0.6,77,21.2708371778311,6.9,64.1,50.5,21
"156"," 00BC","00BCGT","Redbridge - Valentines",14123,146.7,13.8,8.9,8.8,16.6,0.8,81.15,24.0317213056716,8.7,77.6,50.3,21
"157"," 00AD","00ADGD","Bexley - Blendon and Penhill",10910,36.6,13.9,2.6,2.4,21.5,1.4,83.85,NA,NA,NA,NA,NA
"158"," 00AM","00AMGG","Hackney - Hackney Central",12548,136.8,14.1,50.7,11,18.4,0.3,77.65,17.5964297099139,7.7,52.7,40.5,12.8
"159"," 00AJ","00AJGY","Ealing - Southall Broadway",13439,147.1,14.1,16.4,8.5,23.8,0.9,81.8,21.1846119502939,10.5,93.7,64.1,36
"160"," 00AP","00APGD","Haringey - Crouch End",12395,80.9,14.2,10.2,3.4,6.4,0.7,80.2,15.8612343686971,8.9,18,29.2,7.6
"161"," 00AY","00AYGP","Lambeth - Streatham Hill",14263,81.5,14.2,24.9,6.5,13.5,0.6,78.15,18.3201290051181,8.4,37.9,37.8,12.4
"162"," 00AM","00AMGF","Hackney - De Beauvoir",13643,100.9,14.2,39.9,9.4,15.6,0.4,79.6,16.1034962984681,7,39.9,37.8,11.7
"163"," 00AJ","00AJHA","Ealing - Southfield",13474,72.4,14.3,9.8,3.1,9,0.8,83.7,17.3074068576518,10,20.8,36.2,10.7
"164"," 00AQ","00AQGG","Harrow - Headstone South",11135,40.5,14.4,7.2,3.7,13.1,1.1,84.75,20.3682083520431,12,56.5,44.2,15.9
"165"," 00AU","00AUGA","Islington - Canonbury",12072,103.9,14.4,47.2,6.8,19.2,0.4,79.4,17.3376408217363,9.7,28.2,29.7,9.1
"166"," 00AY","00AYGD","Lambeth - Coldharbour",16784,194.9,14.4,59.1,15,17.6,0.4,76.55,21.5622020972355,6.1,62.1,43.7,13.3
"167"," 00AP","00APGH","Haringey - Hornsey",12659,66.1,14.5,29.5,8.6,13.8,0.6,78.95,18.1293941069595,8.2,31,32.2,10.5
"168"," 00AG","00AGGW","Camden - Swiss Cottage",12900,87,14.5,16.5,2.9,9,0.6,83.3,16.4883720930233,11.6,32.4,51.2,17.8
"169"," 00BA","00BAFZ","Merton - Colliers Wood",10712,92.8,14.5,12.6,3.5,13.3,0.7,80.45,14.1896938013443,8.1,40.1,47.2,16.3
"170"," 00BB","00BBGS","Newham - Plaistow South",16404,125.3,14.5,25.1,10.5,21.8,0.6,79.4,25.1097293343087,6.6,67.3,51.7,21.9
"171"," 00AC","00ACGH","Barnet - Golders Green",18818,83.3,14.6,13.3,4.5,16.4,1,81.25,27.1867361037305,12,34.2,45.8,17.5
"172"," 00AQ","00AQGA","Harrow - Edgware",11653,63.9,15,10.3,4.3,22.5,1.1,81.75,20.2866214708659,11.4,65.3,56.5,24.8
"173"," 00BG","00BGGM","Tower Hamlets - Weavers",13206,195.8,15,43.4,11.7,20.6,0.3,80.55,17.3406027563229,7,47.9,41.2,16.7
"174"," 00AC","00ACFZ","Barnet - Childs Hill",20049,107.1,15.1,12.5,6.2,13.7,0.8,79.7,19.1730260860891,12.4,38.9,51.2,23
"175"," 00BA","00BAGB","Merton - Dundonald",9275,79,15.2,3.7,1.4,7.8,0.8,85.05,16.4851752021563,9.8,18.1,35.6,7.3
"176"," 00AG","00AGGF","Camden - Camden Town with Primrose Hill",12613,411.2,15.2,30.5,5.4,11.7,0.5,82,15.373027828431,11.3,26.4,38.8,12.1
"177"," 00AC","00ACGN","Barnet - Oakleigh",15811,59.6,15.3,7.3,3.7,14.7,1.3,81.6,19.1006261463538,16.4,26.7,28.5,8.6
"178"," 00AK","00AKGL","Enfield - Bowes",14051,61.8,15.3,10.7,6.8,16.7,0.8,81.15,17.2443242473845,10.6,38.6,47.5,23.3
"179"," 00AW","00AWGJ","Kensington and Chelsea - Norland",8675,91,15.3,38.5,5.4,14.2,0.6,87.8,NA,NA,NA,NA,NA
"180"," 00BE","00BEGE","Southwark - Cathedrals",14941,208.6,15.3,42.8,7.1,12.7,0.4,84.15,10.6887089217589,7.4,38.4,40,10.4
"181"," 00AQ","00AQGQ","Harrow - Roxbourne",12828,53.5,15.4,25.4,5.7,19.2,1,79.75,24.4543186778921,9.8,66.3,48.4,20.9
"182"," 00AK","00AKGZ","Enfield - Palmers Green",15162,80.2,15.4,9,5.7,20.6,1,81.1,18.8431605329112,13.3,35.4,41.4,18.1
"183"," 00AL","00ALGQ","Greenwich - Blackheath Westcombe",12875,76.4,15.5,22.4,3.4,12.1,0.8,81.6,16.2796116504854,15,16.9,23,5.2
"184"," 00BK","00BKGK","Westminster - Little Venice",10633,101.8,15.5,18.5,3.7,11.5,0.6,86.35,17.201166180758,9.8,35.6,52.6,19.9
"185"," 00AM","00AMGQ","Hackney - Queensbridge",13670,149.1,15.6,50.1,12.2,18.8,0.4,79.25,17.542062911485,8.2,44.7,38.3,11.8
"186"," 00BA","00BAGP","Merton - Trinity",9798,117,15.7,11.9,2.8,9.2,0.8,82.25,16.9320269442743,8.2,22.2,36.1,9.8
"187"," 00AT","00ATGH","Hounslow - Heston Central",12288,78.6,15.8,19.5,4.6,17.3,1.1,80.2,20.8414713541667,10.9,76.6,54.7,23.9
"188"," 00AG","00AGGK","Camden - Gospel Oak",11264,79.1,15.9,NA,NA,NA,NA,78.7,19.6022727272727,12.2,30.1,34.9,10.4
"189"," 00AU","00AUGC","Islington - Finsbury Park",14358,182.9,15.9,43.4,9.6,20.6,0.3,76.5,18.4148210057111,8.5,42.9,41.6,17.5
"190"," 00AH","00AHGY","Croydon - Shirley",14296,39.6,16,18.5,4.7,19.1,1.2,84.2,20.6281477336318,16.7,30.9,19.7,3.9
"191"," 00AK","00AKHE","Enfield - Town",14906,54.5,16,6.1,3.8,17.4,1.2,81.85,20.1730846638937,14.9,18,17.1,4.4
"192"," 00AB","00ABGM","Barking and Dagenham - Valence",9867,88.6,16,37.4,9.5,32.1,0.8,75.3,NA,NA,NA,NA,NA
"193"," 00AH","00AHGS","Croydon - Norbury",16476,77.4,16.1,13.8,6.6,16.2,1,82.15,21.0184510803593,13.4,62.3,43.6,13
"194"," 00AF","00AFGK","Bromley - Clock House",15560,51.4,16.3,12.6,3.7,15.2,1,81.75,19.7879177377892,11.5,20.6,17.3,3.9
"195"," 00AJ","00AJGZ","Ealing - Southall Green",14579,102.7,16.3,13.6,10.9,23.6,0.9,81.5,22.3266341998765,8.2,91.4,63.3,36.7
"196"," 00AN","00ANGM","Hammersmith and Fulham - Ravenscourt Park",10785,107.6,16.3,23.2,3.4,9.9,0.6,82.25,NA,NA,NA,NA,NA
"197"," 00AE","00AEHA","Brent - Stonebridge",16903,119.9,16.3,62.3,13.7,25.9,0.6,81.5,28.1902620836538,8.7,76.5,48.8,17.2
"198"," 00AC","00ACGK","Barnet - Hendon",18472,81.9,16.4,12.1,4.7,13.5,1,82.7,20.0844521437852,11.9,36.3,48.2,20.3
"199"," 00AB","00ABGP","Barking and Dagenham - Whalebone",10575,90.7,16.4,12.3,6.9,24,1,82.55,NA,NA,NA,NA,NA
"200"," 00AU","00AUFZ","Islington - Caledonian",13896,116.7,16.4,44.7,6.3,21,0.4,78.7,15.2489925158319,9,34.7,37.3,14.4
"201"," 00AY","00AYGU","Lambeth - Tulse Hill",15771,95.8,16.6,43.2,11,14.7,0.5,79.4,21.0259336757339,6.6,52.6,38.6,11.3
"202"," 00AU","00AUGH","Islington - Junction",12025,99.9,16.6,43.3,6.9,16.8,0.4,80.15,15.3929313929314,10.7,30.6,34.7,11.5
"203"," 00AZ","00AZGR","Lewisham - New Cross",15756,144.9,16.6,40.5,10,17.9,0.5,75.95,20.1891342980452,5.9,59.7,46.6,15.3
"204"," 00AR","00ARGU","Havering - Squirrel's Heath",13194,52.7,16.7,8.8,3.9,20,1.3,85.55,17.7656510535092,16.3,11.5,9.4,1.3
"205"," 00BJ","00BJGB","Wandsworth - Earlsfield",15448,68,16.7,21.7,3.1,11.9,0.7,80.15,14.9598653547385,6.7,27.7,33.4,8.2
"206"," 00BC","00BCGM","Redbridge - Mayfield",13672,80.2,16.8,7.6,7,20.5,1.2,80.5,24.2612638970158,11.6,73.3,41.1,13.5
"207"," 00AY","00AYGW","Lambeth - Vassall",14143,100.4,16.8,53.2,11,16,0.4,78.2,18.0159796365693,7.2,52.7,40,12.1
"208"," 00AU","00AUGG","Islington - Holloway",14983,79.4,16.9,46.5,6.2,18.8,0.4,76.95,15.5776546752987,8.2,36.1,39.6,14.9
"209"," 00BG","00BGFX","Tower Hamlets - Bethnal Green South",14166,128.5,16.9,44.9,10.9,21.4,0.3,82.2,19.709162784131,5.3,64.3,45.5,23.1
"210"," 00AE","00AEGS","Brent - Kenton",12133,59.7,17,5.6,2.6,17.3,1.4,84.95,16.7229868952444,17.2,70,53.9,19.6
"211"," 00BJ","00BJGP","Wandsworth - Southfields",16256,72.3,17,14.7,2.8,10.1,0.7,84.35,18.503937007874,7.7,24.4,34.8,9
"212"," 00AH","00AHGK","Croydon - Coulsdon West",13449,41.2,17.1,4.6,2.7,15.1,1.5,81.4,20.1055840582943,15.3,25.2,16.9,2.4
"213"," 00AF","00AFGL","Bromley - Copers Cope",15392,69.5,17.1,9.2,3.1,12.1,1,79.9,13.1691787941788,16.8,17.4,20.3,4.6
"214"," 00AB","00ABGE","Barking and Dagenham - Goresbrook",11267,82.9,17.1,37.3,9.6,30,0.8,80.35,NA,NA,NA,NA,NA
"215"," 00AM","00AMGE","Hackney - Dalston",14727,198,17.1,38.9,12,15.9,0.4,80.35,16.4595640660012,6.2,44.5,40.8,14
"216"," 00AD","00ADGF","Bexley - Christchurch",10965,110.8,17.3,3.9,3.3,21,1.2,79.35,18.1030551755586,18.3,13.4,11.5,2.3
"217"," 00AB","00ABGJ","Barking and Dagenham - Parsloes",9839,79.2,17.5,36.4,9.5,31.8,0.8,79.3,NA,NA,NA,NA,NA
"218"," 00AH","00AHGZ","Croydon - South Norwood",16518,100.5,17.5,20.7,9.6,15.9,0.7,80,21.2979779634338,9.9,52.3,32.1,8.2
"219"," 00AJ","00AJGX","Ealing - South Acton",14873,106.8,17.5,33.9,7.3,16.2,0.7,78.1,20.4531701741411,11.1,43.5,50.5,23.4
"220"," 00AH","00AHGM","Croydon - Fairfield",16569,261.1,17.5,15.5,4.2,12.3,0.6,80.05,17.5870601726115,11.7,48.7,42.3,13.7
"221"," 00AK","00AKHG","Enfield - Upper Edmonton",17374,125.1,17.6,29.8,11.7,28.3,0.8,76.05,25.8432139979279,9.2,58,48.4,22.7
"222"," 00BH","00BHGQ","Waltham Forest - Valley",11444,145.1,17.6,17.9,8.1,26.1,1.1,79.2,21.1464522894093,13.4,38.4,25.6,7.9
"223"," 00AS","00ASGK","Hillingdon - Cavendish",11658,43.1,17.7,7.3,2.4,17.2,1.4,82.3,20.6210327671985,15.7,19.7,16.7,3.7
"224"," 00AE","00AEGJ","Brent - Alperton",14017,103.1,17.7,12.1,4.5,22.1,0.9,81.85,19.0054933295284,9.5,81.8,66.8,32.3
"225"," 00AH","00AHHD","Croydon - West Thornton",17489,112.2,17.7,15.7,7.9,17.9,0.8,80.05,25.050031448339,9.5,76.5,46.5,15.1
"226"," 00AT","00ATGN","Hounslow - Hounslow South",11409,54.8,17.9,5.1,2.9,15.7,1.3,86.15,19.3110098176718,12.5,45.1,38.7,13.2
"227"," 00AQ","00AQGJ","Harrow - Kenton West",11173,57.1,17.9,3,3,17.9,1.4,84.3,17.9092455025508,14.3,72.6,51.3,20.4
"228"," 00AS","00ASGS","Hillingdon - Manor",11442,56,18,4.1,2,17,1.3,81.55,20.2412165705296,15.7,16,16.2,3.6
"229"," 00BF","00BFGR","Sutton - The Wrythe",10163,56.2,18,14.7,4.1,22.2,1.1,80.7,NA,NA,NA,NA,NA
"230"," 00AG","00AGGH","Camden - Fortune Green",11740,80.4,18,16.7,5,9.2,0.6,82.75,15.0425894378194,9.7,29,43.4,16.1
"231"," 00AF","00AFGG","Bromley - Bromley Town",16826,155.7,18,10,3.3,13.1,1,79.55,19.3510043979555,13.9,18.5,19.9,4.9
"232"," 00AB","00ABGC","Barking and Dagenham - Eastbury",11624,87.6,18.1,37.4,10.2,28.9,0.8,82.55,NA,NA,NA,NA,NA
"233"," 00AU","00AUGF","Islington - Hillrise",11794,69.3,18.3,45.3,7.6,17.9,0.5,77.75,19.2470747837884,9,33.7,32.9,10.4
"234"," 00AY","00AYGR","Lambeth - Streatham Wells",14906,81.4,18.3,20.8,6.2,13.9,0.6,76.55,19.3277874681336,8.3,43.1,41.2,14.2
"235"," 00AH","00AHGW","Croydon - Selhurst",18087,140.2,18.3,27.1,9.9,18.9,0.6,76.4,24.5535467462819,8.7,65.6,40.1,11.5
"236"," 00AQ","00AQGR","Harrow - Roxeth",11663,64.1,18.4,9.5,5.2,17.3,1.2,82.1,22.8414644602589,11,66.3,48.4,19.8
"237"," 00BH","00BHGB","Waltham Forest - Endlebury",10730,55,18.5,14.7,4.8,23.5,1.3,82.4,18.6113699906803,16.9,22.4,17.5,3.8
"238"," 00BJ","00BJGE","Wandsworth - Furzedown",15504,54,18.8,16.8,6.5,15.5,0.7,79.3,22.0459236326109,9.8,43.1,36.7,12.9
"239"," 00AR","00ARGS","Havering - St. Andrew's",13334,82,18.8,11.3,3.7,26.2,1.2,78.1,NA,NA,NA,NA,NA
"240"," 00BA","00BAGJ","Merton - Merton Park",9485,69.5,18.9,3.9,2.5,11.5,1,86.5,19.5044807590933,14.6,29.2,35.5,10.1
"241"," 00BF","00BFGE","Sutton - Belmont",10048,30.5,19,10,3,13.7,1.2,80.35,17.7945859872611,16.4,22.2,22.1,4.8
"242"," 00BA","00BAGF","Merton - Lavender Fields",10273,68,19,20.4,5.7,18.1,0.8,80.85,20.3056556020637,7.3,46.8,46.1,19.6
"243"," 00AH","00AHGL","Croydon - Croham",15790,73.3,19.1,8.3,4.4,12,1,81.1,18.2457251424953,12,31.3,24.3,6.5
"244"," 00AE","00AEGX","Brent - Preston",15474,86.3,19.1,12.6,4.9,17.5,1,83.15,20.4278143983456,12.4,70,57.3,22.8
"245"," 00AE","00AEGY","Brent - Queens Park",15281,115,19.1,19.9,6.9,13.3,0.7,84.15,17.983116288201,8.6,37,41.9,14.4
"246"," 00AM","00AMGJ","Hackney - Haggerston",13904,382.1,19.1,44.1,10.4,16.1,0.3,78.95,15.9882048331415,5.7,45.6,45.9,17.4
"247"," 00BK","00BKGU","Westminster - Westbourne",12759,99,19.2,48.5,10,22.4,0.4,75.9,21.8198918410534,9.5,52.8,51.5,24.1
"248"," 00AC","00ACGT","Barnet - Woodhouse",17575,92.8,19.3,11.5,4.5,15.7,1,79.85,18.7482219061166,13.6,37.6,41,16.2
"249"," 00AJ","00AJGP","Ealing - Lady Margaret",13897,64.1,19.4,7.3,6.1,19.8,1.3,80.05,20.1986040152551,11,83.5,55.9,25.2
"250"," 00AH","00AHHB","Croydon - Upper Norwood",16082,85.7,19.5,20.6,7.7,16.6,0.9,80.45,20.9924138788708,11,51.3,33.9,9
"251"," 00AJ","00AJGH","Ealing - East Acton",18706,144.3,19.6,22.1,7.8,15,0.7,82.85,19.2505078584411,8.2,50.1,54.4,22.4
"252"," 00AB","00ABFX","Barking and Dagenham - Abbey",12786,172.5,19.6,26.7,8.7,16.4,0.5,85.05,NA,NA,NA,NA,NA
"253"," 00AQ","00AQGU","Harrow - West Harrow",10373,45.4,19.7,9.6,3.7,13.4,1.1,82,20.3027089559433,13,55.8,42.9,14.4
"254"," 00AY","00AYGT","Lambeth - Thurlow Park",13641,103.6,19.7,27.1,5.9,12.7,0.7,80.4,21.0615057547101,8.8,36.3,30.3,8.7
"255"," 00AE","00AEHC","Brent - Tokyngton",15105,132.9,19.7,12,4.7,19.4,0.9,83.55,18.417742469381,11.3,76.3,62.9,26.6
"256"," 00BF","00BFGS","Sutton - Wallington North",10650,60,19.9,12.9,3.3,16.4,1.1,80.1,19.9154929577465,12.5,19.6,16.6,4.4
"257"," 00BC","00BCGD","Redbridge - Clayhall",13241,66.7,19.9,4.9,3.6,17,1.4,84.7,21.9016690582282,14.3,71,38.8,10.9
"258"," 00AL","00ALGS","Greenwich - Coldharbour and New Eltham",13062,60,20,23.5,4.9,25.4,1.1,81.3,NA,NA,NA,NA,NA
"259"," 00BE","00BEGW","Southwark - South Camberwell",12629,72.6,20,37.9,6.8,12.4,0.6,80.5,19.6848523240162,7.1,44.1,35.8,7.7
"260"," 00AP","00APGM","Haringey - St. Ann's",14638,91.5,20,23.6,11.3,20.4,0.5,77.7,NA,NA,NA,NA,NA
"261"," 00AY","00AYGJ","Lambeth - Larkhall",17243,113.7,20,41.4,7.3,13.9,0.4,76.6,16.6560343327727,6.2,43.3,42.2,13
"262"," 00BE","00BEGP","Southwark - Nunhead",13620,98.5,20.1,47.4,11.3,21.1,0.5,74.25,19.6182085168869,8.9,55.5,39,9.1
"263"," 00AJ","00AJHB","Ealing - Walpole",13330,100.1,20.1,12,3.6,10.2,0.8,82.25,17.9594898724681,10.5,27.1,38,14.1
"264"," 00AE","00AEHE","Brent - Wembley Central",14727,156.3,20.1,15.6,6,20.7,0.8,82.5,18.2114483601548,9.7,86,68.5,32.9
"265"," 00AC","00ACFY","Barnet - Burnt Oak",18217,67.8,20.2,35.5,6.9,23.6,0.8,78.4,24.5814349234232,9.3,53.5,47.1,19.3
"266"," 00AB","00ABGD","Barking and Dagenham - Gascoigne",12452,135.2,20.3,54,12.2,25.5,0.5,78.5,NA,NA,NA,NA,NA
"267"," 00BJ","00BJGU","Wandsworth - West Putney",14742,51.6,20.5,22.9,3.8,14.5,0.8,77.75,17.7994844661511,13.3,22.9,34.4,9.5
"268"," 00AM","00AMGC","Hackney - Chatham",13232,134.3,20.5,51,14.1,21.1,0.4,76.95,21.9543530834341,6.9,54.4,41.3,14.4
"269"," 00AK","00AKHD","Enfield - Southgate Green",13787,65.9,20.6,12,4.3,16.3,1.1,81.7,18.1112642344237,15.3,33.2,36.2,14
"270"," 00AZ","00AZGH","Lewisham - Crofton Park",14937,70.7,20.7,16.8,5.9,15.3,0.7,82.45,19.5353819374707,9.1,39.6,30.1,7
"271"," 00AY","00AYGL","Lambeth - Prince's",14262,142.1,20.7,47.1,8.9,16.3,0.4,78,16.8980507642687,9.3,43.4,38.5,12.4
"272"," 00AC","00ACGA","Barnet - Colindale",17098,68.8,20.8,34.3,4.8,18,0.8,80.5,22.2306702538309,8.4,59.9,52.7,23.2
"273"," 00AB","00ABGK","Barking and Dagenham - River",10923,92.8,20.8,25.7,8.6,29.9,0.8,75.55,NA,NA,NA,NA,NA
"274"," 00AN","00ANGF","Hammersmith and Fulham - Fulham Reach",11306,98.4,20.9,31.9,3.8,11.7,0.5,87.35,NA,NA,NA,NA,NA
"275"," 00AM","00AMGT","Hackney - Victoria",13231,109.7,20.9,52.3,12.5,19.5,0.4,83.1,20.6409190537374,7.4,44.2,34,10.4
"276"," 00BG","00BGGH","Tower Hamlets - St. Dunstan's and Stepney Green",16238,99.2,21.2,54,11.7,26.9,0.4,74.45,NA,NA,NA,NA,NA
"277"," 00BD","00BDGP","Richmond upon Thames - Whitton",9752,57,21.3,9.8,2.8,17,1.2,82.75,19.3396226415094,16.3,21.5,23.3,6.7
"278"," 00BC","00BCGP","Redbridge - Newbury",16760,73.4,21.4,10,6.5,17.4,1.1,81.3,25.4474940334129,9.1,77.2,47.5,17.6
"279"," 00BF","00BFGL","Sutton - Stonecot",10712,52.6,21.5,3.7,2.8,20.5,1.4,81.95,20.5843913368185,14.5,20.9,18.1,5.2
"280"," 00AX","00AXGH","Kingston upon Thames - Old Malden",9431,34,21.6,9.1,2.3,15.7,1.4,84.15,19.8706393807656,15.7,30.8,27.3,8.4
"281"," 00AZ","00AZGM","Lewisham - Grove Park",14648,69.9,21.6,26.7,7.1,22.5,0.9,79.7,20.8287820862916,12.6,37.5,26.9,7
"282"," 00AU","00AUGD","Islington - Highbury East",11634,96.6,21.6,31.1,4.7,13.4,0.5,78.6,17.0190820010315,9.7,23.5,30.9,9.3
"283"," 00BB","00BBGD","Newham - Canning Town North",14810,125.7,21.7,49.3,14.4,25.7,0.5,75.25,22.9574611748818,7.7,59.2,47.9,18.6
"284"," 00AW","00AWGQ","Kensington and Chelsea - St. Charles",9343,85.1,21.9,58.7,9.4,21.5,0.5,80.6,NA,NA,NA,NA,NA
"285"," 00AF","00AFGD","Bromley - Bickley",15098,45.3,22.1,7,2.4,14.5,1.4,79.9,19.2210888859452,19.8,14.5,15.7,2.7
"286"," 00AQ","00AQGM","Harrow - Pinner South",10411,0.9,22.2,6.7,1.9,11.4,1.4,87.9,21.1603112092979,17.1,40.6,29.4,6.8
"287"," 00AH","00AHGF","Croydon - Ashburton",14721,62.7,22.2,21.5,5.4,19.5,1.1,80.4,21.7784117926771,13.2,36.7,22.3,4.8
"288"," 00AZ","00AZGL","Lewisham - Forest Hill",14854,78.2,22.2,26.4,7.6,13.9,0.7,78.45,21.1188905345362,10,38.2,31.1,8.2
"289"," 00AJ","00AJGG","Ealing - Ealing Common",14019,91.3,22.2,14.6,4.8,10.8,0.9,81.65,15.2221984449675,11.3,31.5,43.1,15.4
"290"," 00BK","00BKGD","Westminster - Churchill",9618,107.2,22.2,49.8,6.8,19.1,0.4,78.25,20.1289249324184,12.8,39.4,44.4,17.4
"291"," 00BF","00BFGW","Sutton - Worcester Park",11655,42.3,22.3,6.4,2.4,17.2,1.2,82.4,20.7893607893608,13.4,20,21.5,6.1
"292"," 00AY","00AYGS","Lambeth - Thornton",12526,59.9,22.4,39.1,5.9,14.2,0.6,82.1,20.6610250678589,7.9,40.5,37,10.1
"293"," 00AB","00ABFY","Barking and Dagenham - Alibon",10385,93.2,22.4,36.8,10.2,31.2,0.8,78.6,NA,NA,NA,NA,NA
"294"," 00AT","00ATGQ","Hounslow - Isleworth",11977,83.3,22.6,34.1,4.9,19.9,0.9,78.9,21.3242047257243,9.8,34.8,33.8,11.7
"295"," 00BH","00BHFY","Waltham Forest - Cathall",12700,84.2,22.6,38.5,13.2,19.3,0.5,78.25,21.3622047244094,6.8,61,50.1,20
"296"," 00AJ","00AJGL","Ealing - Greenford Green",14349,87,22.6,9.7,4.8,17.8,1.1,81.5,20.9631333193951,11.9,49,50.1,21.9
"297"," 00AZ","00AZGK","Lewisham - Evelyn",16603,95.7,22.6,57.3,10.2,19.1,0.4,80.35,23.2006263928206,6,60.9,44.8,16
"298"," 00AX","00AXGN","Kingston upon Thames - Tudor",9578,42.7,22.7,7.5,1.9,10.1,1.2,84.45,22.9379828774274,13.6,17.6,23.9,6.1
"299"," 00AH","00AHGN","Croydon - Fieldway",11479,64.7,22.8,60.6,11,34.4,0.8,77,31.1089816186079,10.1,34.4,19.3,4.1
"300"," 00AM","00AMGM","Hackney - Leabridge",14039,84.4,23,32,11.4,18.5,0.5,75.9,21.091245815229,7,52.7,40.7,17.3
"301"," 00BA","00BAGC","Merton - Figge's Marsh",11240,99,23,27.3,9.1,21,0.8,78.05,23.1138790035587,9.3,57.4,44.9,16.3
"302"," 00AP","00APGL","Haringey - Northumberland Park",14429,124.1,23,48.6,20.8,29.2,0.5,78.9,NA,NA,NA,NA,NA
"303"," 00BF","00BFGQ","Sutton - Sutton West",10536,39.9,23.1,3.9,2.5,13.5,1.1,80.8,18.0713743356112,13.9,23,25.1,7.8
"304"," 00BE","00BEGS","Southwark - Riverside",14390,147.9,23.2,34.3,4.7,13.5,0.5,79.4,12.4461431549687,6.4,31.2,40.5,12.7
"305"," 00AQ","00AQGN","Harrow - Queensbury",11984,55.4,23.3,3.9,3.2,20.8,1.2,81.45,21.1949265687583,11.6,75,57.5,26.2
"306"," 00BG","00BGGD","Tower Hamlets - Limehouse",15986,84.2,23.4,41.2,11.7,21.9,0.5,78.15,22.2757412736144,6.2,56.8,43.8,19.7
"307"," 00AP","00APGN","Haringey - Seven Sisters",15968,95.2,23.4,31.8,10.3,24.4,0.5,83.45,27.0415831663327,7.3,41.2,49.1,22.5
"308"," 00BD","00BDGH","Richmond upon Thames - St. Margarets & North Twickenham",11172,55.1,23.5,4,1.6,6.6,1.1,89.3,NA,NA,NA,NA,NA
"309"," 00BB","00BBGJ","Newham - East Ham South",15575,92,23.5,31.1,10.4,24.3,0.7,77.55,27.8523274478331,7.4,67.7,46.6,19.7
"310"," 00AX","00AXGF","Kingston upon Thames - Grove",10955,366.4,23.6,13.2,2.2,8.5,0.8,83.25,12.8617069831127,9.4,23.2,31.4,11.2
