"","Districtcode","Wardcode","Wardname","Population2011Census.x","Crimerate","Openspace","hhSocialRented","JobSeekers","Noqual","Carsperhousehold","LifeExpectancy","Children","Greaterthan65","nonwhite","NotBorninUK","NotEnglishspeaking"
"311"," 00AX","00AXGK","Kingston upon Thames - St. Mark's",10483,63.1,23.9,6.7,2.9,6.7,0.9,81.35,NA,NA,NA,NA,NA
"312"," 00AR","00ARGH","Havering - Hacton",12262,32.8,24.1,4.4,3.1,25.3,1.3,82.9,16.5878323275159,19.7,7.3,7.3,1.7
"313"," 00AZ","00AZGT","Lewisham - Rushey Green",14916,140.6,24.1,26.9,9.2,18,0.6,77.65,22.0367390721373,9,59.1,38,10.2
"314"," 00BE","00BEGJ","Southwark - East Walworth",11557,166.9,24.1,53.9,7.4,20.8,0.4,78.2,18.4996106255949,8.3,51.8,43.8,13.7
"315"," 00BG","00BGGK","Tower Hamlets - Shadwell",15110,77.9,24.2,42.7,14.8,21.3,0.4,88.1,22.3891462607545,6.3,64.4,45.1,23.2
"316"," 00AC","00ACGG","Barnet - Garden Suburb",15929,82.1,24.2,4.9,2,8.2,7.2,85,20.3653713353004,16.3,21.4,36,10.9
"317"," 00AF","00AFGN","Bromley - Cray Valley West",16769,84.7,24.2,33.5,7.1,28.5,1.1,79.6,23.6269306458346,14.9,13.9,10.9,2.5
"318"," 00AJ","00AJGC","Ealing - Acton Central",15427,100.9,24.2,23.3,6.6,14.3,0.7,86,19.66033577494,9.6,40,48.3,21
"319"," 00BA","00BAGM","Merton - Raynes Park",9738,48.3,24.4,10.7,1.8,9.7,1,81.9,19.172314643664,13.7,19.8,33.4,8.7
"320"," 00AF","00AFGY","Bromley - Petts Wood and Knoll",13651,37.6,24.6,2.7,2.1,15.2,1.4,86.35,NA,NA,NA,NA,NA
"321"," 00AL","00ALGT","Greenwich - Eltham North",12519,59.9,24.6,17,4.1,20,1.1,81.95,18.6117102004952,16.6,11.3,13.9,3.4
"322"," 00AP","00APGP","Haringey - Stroud Green",11758,69.9,24.6,22.9,5.5,10.1,0.6,83.45,16.2782786188127,6.9,25.9,31.3,9
"323"," 00AP","00APGE","Haringey - Fortis Green",12488,71.2,24.6,11.2,3.5,9.2,0.9,84.4,21.2764253683536,11,20.1,27.5,8.3
"324"," 00BF","00BFGH","Sutton - Cheam",10285,45.3,24.7,2.5,1.9,14.6,1.5,82.65,19.8249878463782,19.7,21.2,18.6,3.3
"325"," 00BC","00BCGH","Redbridge - Fullwell",12910,76.8,24.9,14.9,6.1,23.4,1.2,81,21.5491866769946,15.6,48.5,29.6,8
"326"," 00AY","00AYGK","Lambeth - Oval",15106,146.2,24.9,34.8,6,13,0.4,78.45,13.9944392956441,7.2,36.9,42.6,15
"327"," 00AN","00ANGN","Hammersmith and Fulham - Sands End",12760,73.8,25,33.9,4.2,12.8,0.6,80,NA,NA,NA,NA,NA
"328"," 00AK","00AKHH","Enfield - Winchmore Hill",13403,54.1,25.2,6.4,3.9,15.4,1.2,80,18.4212489741103,14.9,23.8,27,8.1
"329"," 00AF","00AFGX","Bromley - Penge and Cator",17326,97.7,25.2,29.8,7.4,17,0.8,78.05,NA,NA,NA,NA,NA
"330"," 00AP","00APGB","Haringey - Bounds Green",13725,92.6,25.3,28.4,8.5,17.3,0.6,77.9,18.6739526411658,9.2,39.8,48.5,21.5
"331"," 00AJ","00AJGQ","Ealing - Northfield",13517,49,25.6,6.7,2.6,8.7,0.9,84.7,18.8281423392765,11,23.2,36.2,11.1
"332"," 00AZ","00AZGN","Lewisham - Ladywell",14515,90.7,25.6,23.6,6.1,12.8,0.7,76.85,18.3258697898725,8.9,45.4,35.4,9.4
"333"," 00AY","00AYGF","Lambeth - Gipsy Hill",13712,94.3,25.7,NA,NA,NA,NA,80.1,22.4912485414236,8.1,44.9,30.6,7.7
"334"," 00AD","00ADGW","Bexley - Sidcup",10844,53.1,25.8,6.7,2,19.1,1.2,77.6,15.8151973441534,20,10.1,10.6,2.2
"335"," 00AR","00ARGM","Havering - Hylands",12952,61.9,26,7.2,3.2,23.7,1.4,81.15,17.6343421865349,16.2,9.7,7.9,1.7
"336"," 00BF","00BFGK","Sutton - St. Helier",11949,75.5,26,40.5,7.5,27.3,1,78.45,NA,NA,NA,NA,NA
"337"," 00AJ","00AJGK","Ealing - Greenford Broadway",17625,113.5,26.2,23.4,7.6,21.9,0.9,79.3,23.4439716312057,11,57.3,48.6,22.2
"338"," 00AS","00ASHA","Hillingdon - Uxbridge South",13979,123,26.2,22.2,3.9,14.1,1,78.45,13.2627512697618,9.6,37.9,30.9,10
"339"," 00AF","00AFGW","Bromley - Orpington",15311,77.6,26.3,15.8,4.8,22.3,1.2,81.85,19.1626934883417,21.2,12.6,11.9,2.3
"340"," 00AD","00ADGL","Bexley - East Wickham",10858,45.3,26.5,12.6,4.6,26.4,1.2,81.5,18.9169276109781,18,16.9,13.4,3.2
"341"," 00AM","00AMGR","Hackney - Springfield",12378,64.6,26.5,47,10.8,31.7,0.4,82.2,33.1879140410406,6.9,44.9,39.4,18.2
"342"," 00AX","00AXFZ","Kingston upon Thames - Beverley",10109,74.5,26.5,11.5,2.9,15.2,1,78.4,20.6647541794441,12.9,32.6,32.4,13.3
"343"," 00AY","00AYGQ","Lambeth - Streatham South",14336,69.7,26.6,15.5,7.6,17,0.8,82.9,20.6682477678571,10.9,52.5,44.5,15.8
"344"," 00BB","00BBGQ","Newham - Manor Park",15318,83.3,26.6,22.5,10.9,20.7,0.7,77.4,23.5082908995952,7.1,81.5,56.2,27.6
"345"," 00BB","00BBGE","Newham - Canning Town South",15996,86.2,26.6,36,9.2,22.6,0.5,80.2,21.0865216304076,7.1,54.5,47.5,19.9
"346"," 00AE","00AEGM","Brent - Dollis Hill",13425,94.9,26.6,22.1,8,24.4,0.9,83.65,25.0651769087523,11.3,64.3,54.5,22
"347"," 00AT","00ATGC","Hounslow - Cranford",12330,105,26.6,29.1,6,20.2,1,82.6,21.3787510137875,10.1,73.9,56.2,26.5
"348"," 00BD","00BDGK","Richmond upon Thames - South Twickenham",9987,41.4,26.7,6.6,1.3,6.4,1.1,84.75,18.4740162210874,10.3,9.7,18.8,4
"349"," 00AJ","00AJGM","Ealing - Hanger Hill",15561,73.2,26.7,4.7,3.3,9.2,1,85.7,18.9705031810295,12.8,43.1,53.1,23.8
"350"," 00AP","00APGU","Haringey - Woodside",14514,99.2,26.8,23.2,9.2,20,0.6,79.2,19.1883698498002,8.5,43.2,54.2,25.6
"351"," 00BJ","00BJGM","Wandsworth - St. Mary's Park",16556,89.3,26.9,21.8,4.8,11.4,0.7,74.35,NA,NA,NA,NA,NA
"352"," 00AS","00ASGW","Hillingdon - Pinkwell",14767,97.8,26.9,20.4,6,22,1.2,80.35,26.3357486286991,8.6,68.2,45.3,18.5
"353"," 00BF","00BFGN","Sutton - Sutton North",10355,49.9,27,11.1,3.8,21.6,1.1,79.9,20.1352003862868,16.5,21.9,21.1,6.1
"354"," 00BD","00BDGD","Richmond upon Thames - Heathfield",10313,59,27,21.2,3.8,20.4,1.2,81.25,20.1687190924076,14.8,30.4,26.6,8.7
"355"," 00BF","00BFGF","Sutton - Carshalton Central",10039,60,27,7,3.3,15.4,1.2,84.15,19.0656439884451,13.7,13.7,15,3.7
"356"," 00AK","00AKGU","Enfield - Haselbury",16263,72.3,27,19.5,11,27.2,0.8,82.2,25.4196642685851,9.3,54.3,46,22.1
"357"," 00AG","00AGGT","Camden - Regent's Park",13528,182.8,27,48,6.7,17.5,0.4,79.3,15.9151389710231,9.6,44.3,45.2,15.6
"358"," 00AT","00ATGJ","Hounslow - Heston East",12319,83.7,27.1,15.7,4.6,16.1,1.2,85.9,20.3831479827908,10.5,77.4,56.5,26.1
"359"," 00BH","00BHGM","Waltham Forest - Leyton",14184,104.6,27.1,34.5,12.5,21.1,0.6,79.85,24.2808798646362,7.4,63.5,48.8,20.8
"360"," 00AK","00AKHC","Enfield - Southgate",14454,59.3,27.2,7.4,4.6,16.1,1.1,83.25,18.8390756883908,14.1,31.6,33.2,11.7
"361"," 00BK","00BKGL","Westminster - Maida Vale",10210,76.6,27.2,24.5,4.6,13.2,0.5,88.2,17.8844270323213,9.2,37.6,49,15.2
"362"," 00BB","00BBGX","Newham - West Ham",15551,78.6,27.2,40.9,10.9,20.9,0.5,79.05,21.5998971127259,7,65.5,51.2,22.1
"363"," 00AK","00AKGT","Enfield - Grange",12709,70.2,27.4,3.4,3.1,16.1,1.3,84.3,17.6095680226611,18.8,19.6,22.1,6.4
"364"," 00AX","00AXGB","Kingston upon Thames - Chessington North and Hook",8741,49.8,27.5,14.8,2.8,21.9,1.3,83.2,NA,NA,NA,NA,NA
"365"," 00AM","00AMGK","Hackney - Hoxton",15174,103.8,27.6,54.3,9.4,17.7,0.3,80.95,15.8626598128377,6.2,46.5,44.8,16.6
"366"," 00AS","00ASGG","Hillingdon - Barnhill",13449,96.8,27.8,19.2,5.8,22.4,1.2,79.05,24.3215108930032,9.6,68.4,45.4,19
"367"," 00AP","00APGT","Haringey - White Hart Lane",13431,97.8,27.8,48.7,14.4,30,0.6,76.6,27.4067455885638,8.4,52.5,44.6,19.2
"368"," 00AY","00AYGB","Lambeth - Clapham Common",12852,91.7,27.9,23.7,3.8,8.3,0.7,79.95,15.6084656084656,6.8,24.3,33.5,7.6
"369"," 00AZ","00AZGX","Lewisham - Whitefoot",14249,95.8,27.9,34.5,8.8,25.9,0.8,80.1,25.791283598849,11.3,50.5,29.5,6.8
"370"," 00AW","00AWGA","Kensington and Chelsea - Campden",8178,136.8,27.9,7,1.5,4.5,0.7,83.6,NA,NA,NA,NA,NA
"371"," 00AC","00ACFX","Barnet - Brunswick Park",16394,55.9,28,9,4,17.4,1.3,83.5,20.6233988044406,14.4,31.6,30.9,10.2
"372"," 00AM","00AMGP","Hackney - New River",12551,75.2,28,44.5,8.5,29,0.4,81.35,28.8821607840013,7.7,39.3,40.2,19.4
"373"," 00AX","00AXGJ","Kingston upon Thames - St. James",8969,41.6,28.2,9.3,2.3,15.9,1.3,81.5,NA,NA,NA,NA,NA
"374"," 00BD","00BDGB","Richmond upon Thames - Hampton North",9387,64.2,28.2,22.5,2.9,17.6,1.2,84,19.250026632577,15.7,16.3,20.1,5.4
"375"," 00AL","00ALGZ","Greenwich - Kidbrooke with Hornfair",14300,72.7,28.2,32.1,6.8,23.7,0.9,80.15,20.3216783216783,11.9,33.6,27.3,7.6
"376"," 00AM","00AMGA","Hackney - Brownswood",11091,79.1,28.2,32,6,14.1,0.4,80.9,14.4351275809215,6.2,38.2,42.7,18.6
"377"," 00AW","00AWGH","Kensington and Chelsea - Holland",9767,93.2,28.2,11.9,3.1,7,0.7,88.25,NA,NA,NA,NA,NA
"378"," 00AW","00AWGN","Kensington and Chelsea - Redcliffe",9245,84.8,28.4,10.4,2.6,5.2,0.6,85.4,NA,NA,NA,NA,NA
"379"," 00BA","00BAGS","Merton - Wimbledon Park",11197,54.6,28.5,8.3,2,7.8,1,85.4,21.2021077074216,8.2,20.4,32.9,8.4
"380"," 00AQ","00AQGL","Harrow - Pinner",10026,56.7,28.6,14.6,2.8,14.7,1.3,82.8,18.1129064432476,19.8,38,31.7,7.5
"381"," 00BH","00BHGP","Waltham Forest - Markhouse",13636,105.4,29,24.4,11.3,20.8,0.6,76.95,23.166617776474,7.8,58.2,45.8,19
"382"," 00AP","00APGR","Haringey - Tottenham Hale",15064,133.3,29,39.2,11.8,24.7,0.5,77,23.6457780138078,7.8,57.4,53.5,22.3
"383"," 00AW","00AWGD","Kensington and Chelsea - Cremorne",7964,89.4,29.2,43.4,4.8,15.4,0.5,86.45,NA,NA,NA,NA,NA
"384"," 00AK","00AKHB","Enfield - Southbury",14506,103.3,29.3,24,8.1,24.6,0.9,80.45,24.9827657521026,9.5,36.2,30.2,12
"385"," 00AM","00AMGU","Hackney - Wick",11734,95.9,29.5,53.8,12.2,22.8,0.5,78.8,22.3197545594,7.9,51.6,35.1,10.9
"386"," 00AK","00AKGM","Enfield - Bush Hill Park",13923,53.7,29.6,5.2,4.1,20.4,1.3,81.8,18.0205415499533,17.2,26.8,25.7,7.7
"387"," 00BC","00BCGN","Redbridge - Monkhams",10422,56.3,29.9,4.4,1.9,15,1.4,81.7,16.9737094607561,20.7,21.1,18.8,3.8
"388"," 00AD","00ADGQ","Bexley - Longlands",10442,40.7,30,13.2,2.8,20.9,1.2,80.45,16.2995594713656,21.7,9.4,9.9,2.1
"389"," 00BK","00BKGS","Westminster - Vincent Square",9988,92.5,30,34.5,4.3,11.7,0.4,85.35,14.4873848618342,12.6,29.3,44.6,17
"390"," 00BC","00BCGR","Redbridge - Seven Kings",15164,96.4,30,8.2,8,18.4,1,78.85,24.2152466367713,9.2,76.7,47.6,19.3
"391"," 00BE","00BEGK","Southwark - Faraday",12839,108.6,30,68.4,10.3,21.8,0.4,80.9,23.2416854895241,7,60.7,45.9,14.6
"392"," 00AZ","00AZGJ","Lewisham - Downham",14567,90.4,30.1,40.9,9.9,30.2,0.7,78.05,24.7065284547264,12.7,41.7,24.8,6.2
"393"," 00AB","00ABGG","Barking and Dagenham - Longbridge",11478,91.9,30.3,13.1,5.6,22.7,1.1,79.45,NA,NA,NA,NA,NA
"394"," 00BG","00BGFZ","Tower Hamlets - Bow East",14781,113.1,30.3,42.8,10.5,21.4,0.4,76.05,17.4616061159597,7.4,39.9,30.9,10.9
"395"," 00AL","00ALGW","Greenwich - Eltham West",10399,61.6,30.5,44.1,6.2,30.8,0.9,77.95,21.9924992787768,12.3,24.6,21.3,6.4
"396"," 00AK","00AKHF","Enfield - Turkey Street",14377,74.6,30.5,26.3,9.5,30.2,1,78.8,25.5129721082284,11.5,37.9,31,14.1
"397"," 00BC","00BCGJ","Redbridge - Goodmayes",13069,93.8,30.6,8.5,8.4,18.1,1,81.55,24.0875353890887,8,75.2,46.3,18.5
"398"," 00BB","00BBGF","Newham - Custom House",13411,136,30.6,41.4,9.5,25.3,0.7,75.55,24.0548803221236,6.6,53.5,46.9,19.6
"399"," 00BK","00BKGQ","Westminster - St. James's",10828,1658,30.7,28,6.1,10.7,0.4,83.4,NA,NA,NA,NA,NA
"400"," 00AS","00ASGY","Hillingdon - Townfield",14106,147.8,30.8,30.1,7.9,24.7,1,77.1,23.1958032043102,9.8,62.9,44.7,18.1
"401"," 00BB","00BBGB","Newham - Beckton",15141,121.2,30.9,36.5,6.5,19.2,0.7,82.25,21.9932633247474,4.8,54.2,49.7,23.5
"402"," 00AQ","00AQGE","Harrow - Hatch End",10693,50.8,31.1,8.5,2.4,15.4,1.4,83.15,18.6851211072664,19.8,43.3,33,9.1
"403"," 00AR","00ARGF","Havering - Emerson Park",11977,46.7,31.2,3.9,2.5,23.1,1.6,80,16.3062536528346,21.3,17.7,11.4,1.7
"404"," 00AP","00APGJ","Haringey - Muswell Hill",10784,81,31.2,9.4,3,8.3,0.9,79.45,17.8783382789318,12.1,16.2,26.1,7
"405"," 00AH","00AHGR","Croydon - New Addington",10801,87.4,31.2,42.2,7.9,34.8,1,77.45,25.8031663734839,12.7,23.7,13.9,3
"406"," 00BH","00BHFZ","Waltham Forest - Chapel End",14086,95.7,31.2,15.7,8.2,18.7,0.9,81.25,24.116143688769,8,48.5,36.9,14.1
"407"," 00BH","00BHGK","Waltham Forest - Larkswood",11337,85.8,31.4,17.4,6.6,26.2,1.1,80.55,19.978830378407,15.3,31.2,21.8,6.3
"408"," 00AS","00ASGP","Hillingdon - Heathrow Villages",12199,308,31.4,14.8,3.7,19.2,1.1,79.3,20.8213788015411,9.4,50,43.2,17.1
"409"," 00AL","00ALGR","Greenwich - Charlton",14385,66.2,31.6,41.1,7.4,20.8,0.7,77,21.8143899895725,10.7,36.2,31,9.4
"410"," 00AE","00AEGK","Brent - Barnhill",15772,83.4,31.6,26.6,6.7,18.1,1,81.15,20.8787725082425,12.3,69.7,56.5,22.9
"411"," 00AY","00AYFZ","Lambeth - Bishop's",9675,311.9,31.6,41.8,6.9,14.5,0.4,81,11.4521963824289,8.7,42,43,13.7
"412"," 00BJ","00BJGT","Wandsworth - West Hill",16402,43.9,31.9,23.6,4.7,14.3,0.8,77.05,18.8452627728326,9.5,31.7,43.5,13.5
"413"," 00AE","00AEGW","Brent - Northwick Park",12811,68.6,32,16.2,3.1,13.4,1.3,81.15,16.6887830770432,13.2,68.8,53.3,19.8
"414"," 00AS","00ASHB","Hillingdon - West Drayton",14370,81.8,32,26.4,5.3,24.3,1.1,78.6,22.7557411273486,11.5,33.5,27.6,9.2
"415"," 00AC","00ACGS","Barnet - West Hendon",17402,120.5,32,16.8,5,17.8,0.9,81.25,19.8080680381565,11.4,50.6,53.6,24.7
"416"," 00AR","00ARGN","Havering - Mawneys",12915,59.9,32.1,11.4,5,29.6,1.2,84.7,19.4192799070848,18.1,11.5,9.3,2.5
"417"," 00AS","00ASGH","Hillingdon - Botwell",15034,111,32.2,25.2,7.6,24,1.1,78.8,24.9634162564853,9.1,60.2,42.7,17.9
"418"," 00BA","00BAGR","Merton - West Barnes",9862,57.7,32.3,5.2,2.4,13.9,1.1,82.65,20.4421009937132,13.4,30,33.7,9.3
"419"," 00BK","00BKGR","Westminster - Tachbrook",8158,51.1,32.4,29.3,2.7,12.5,0.4,82.65,10.7501838685952,15.4,21.8,41.1,15.1
"420"," 00AR","00ARGP","Havering - Pettits",12955,55.9,32.4,5.4,3.2,25.7,1.4,82.45,17.0204554226168,20.8,8.7,7.4,1.7
"421"," 00AF","00AFHB","Bromley - West Wickham",14884,40.8,32.6,4.4,2.2,15.2,1.4,82.8,19.8535339962376,19.7,10.6,9.7,1.3
"422"," 00AL","00ALGX","Greenwich - Glyndon",18171,65.6,32.6,41.4,10.5,21.4,0.6,75.3,22.8606020582246,7.1,55,42.2,13.8
"423"," 00AH","00AHHC","Croydon - Waddon",17077,93.8,32.6,25.5,6.8,19.1,0.8,77.45,22.2755753352462,11,44.6,30.1,8.9
"424"," 00BD","00BDFY","Richmond upon Thames - Fulwell and Hampton Hill",10131,38.8,32.7,8,1.9,10.8,1.1,79.55,NA,NA,NA,NA,NA
"425"," 00AX","00AXGM","Kingston upon Thames - Tolworth and Hook Rise",9833,61.4,33.1,10.7,2.7,18.4,1.2,85,NA,NA,NA,NA,NA
"426"," 00AD","00ADGB","Bexley - Belvedere",11890,67.6,33.2,16.1,6.1,23.7,1,80.2,22.3549201009251,12.7,28.4,20.4,5.1
"427"," 00AK","00AKGQ","Enfield - Edmonton Green",17949,147.7,33.2,43.1,19.6,30.5,0.6,77.2,27.9737032703772,8.4,60.6,46.8,21.4
"428"," 00AS","00ASGU","Hillingdon - Northwood Hills",11578,59.7,33.3,15.5,2.6,16.6,1.3,82.45,18.863361547763,17.5,33.3,27.9,7.1
"429"," 00AH","00AHHE","Croydon - Woodside",16743,78.6,33.3,19.8,8.4,17.1,0.8,79.95,24.3863106970077,7.9,55.1,28.4,6.3
"430"," 00AS","00ASHD","Hillingdon - Yeading",13586,100.8,33.3,21.8,6,19.8,1.1,80.4,25.813337258943,7.6,64.1,42.7,17.4
"431"," 00AS","00ASGM","Hillingdon - Eastcote and East Ruislip",12142,52.5,33.4,7.2,2,13.6,1.5,83.95,NA,NA,NA,NA,NA
"432"," 00BC","00BCGF","Redbridge - Cranbrook",12780,81.7,33.4,5.3,5.1,17.6,1.2,80.25,20.5242566510172,12.9,75.4,44.5,15.1
"433"," 00BG","00BGGF","Tower Hamlets - Mile End East",13354,113.9,33.4,52.9,14.8,23.3,0.4,76.05,23.8954620338475,5.7,66,43.5,20
"434"," 00AM","00AMGN","Hackney - Lordship",12280,61.9,33.6,37,7.1,24.2,0.5,79.95,27.4511400651466,8.4,30.5,31.4,13.1
"435"," 00BJ","00BJGR","Wandsworth - Tooting",16239,97,33.7,18,5.7,14.4,0.6,77.85,17.9075066198658,9,52.7,45.4,15.2
"436"," 00AL","00ALHB","Greenwich - Peninsula",14051,167.4,33.7,30.6,4.1,15,0.6,79.85,16.9240623443171,8.3,30.6,33,10.4
"437"," 00BE","00BEGZ","Southwark - Village",12402,83.3,33.8,15.5,2.8,9.4,1,79.75,23.7381067569747,10.9,20.1,22,3.5
"438"," 00AM","00AMGH","Hackney - Hackney Downs",12921,90.8,33.8,43.1,11.6,19.3,0.4,79.1,18.8839873074839,7.2,51.7,39.5,15.5
"439"," 00BB","00BBGW","Newham - Wall End",14846,63.7,33.9,17.7,8.4,19.6,0.7,79.45,25.239121648929,6.5,82.2,59.8,29.7
"440"," 00BJ","00BJGJ","Wandsworth - Northcote",14940,112.9,34,13.6,2.3,6.7,0.8,80.6,19.0361445783133,6,14.9,28.9,5.7
"441"," 00BE","00BEGT","Southwark - Rotherhithe",13743,107.2,34.1,45.6,5.8,17.5,0.5,77.75,17.2378665502438,7.4,40.9,43.4,15.2
"442"," 00AE","00AEHD","Brent - Welsh Harp",13753,85.3,34.2,19.2,7.7,22.6,0.9,84.85,21.3480695121064,11.4,61.3,55,22.9
"443"," 00AJ","00AJGJ","Ealing - Elthorne",14539,103.8,34.2,20.2,5.9,15.1,0.8,80.15,19.6987413164592,9.7,34.9,40.6,16.9
"444"," 00BA","00BAGH","Merton - Lower Morden",9090,36.5,34.3,4.1,3.1,20.9,1.3,83.35,19.1859185918592,15.2,21.9,22.1,5.9
"445"," 00BH","00BHGS","Waltham Forest - Wood Street",13368,89.4,34.4,30.9,9.8,20.8,0.7,79.25,23.3019150209455,9.2,50.4,38.7,14.4
"446"," 00AJ","00AJGS","Ealing - Northolt Mandeville",15183,95.4,34.4,24.2,7.8,21.5,0.9,81.3,23.5065533820721,10.7,51.7,44.1,19.5
"447"," 00AX","00AXGG","Kingston upon Thames - Norbiton",10107,71.6,34.5,31.2,4.9,17.7,0.8,77.2,18.7691698822598,9.1,31,34.1,13.6
"448"," 00BJ","00BJGQ","Wandsworth - Thamesfield",14842,104.9,34.5,7.5,1.3,6.3,0.8,82.15,15.1731572564344,8.8,12.3,31.4,5.8
"449"," 00AS","00ASGZ","Hillingdon - Uxbridge North",12048,106.1,34.5,12.7,2.9,16.8,1.3,80.1,17.886786188579,15.9,30.2,23.4,5.9
"450"," 00AE","00AEHB","Brent - Sudbury",14950,82.5,34.6,15,6.1,18.1,0.9,82.65,20.6622073578595,10.5,77.3,62.2,28.4
"451"," 00AZ","00AZGE","Lewisham - Blackheath",14039,106.9,34.6,28.8,4.7,13.2,0.7,79.9,18.3845003205357,10.9,30.2,29.3,7.4
"452"," 00AW","00AWGF","Kensington and Chelsea - Golborne",8937,129,34.6,67.8,12.1,22.5,0.4,85.9,NA,NA,NA,NA,NA
"453"," 00AJ","00AJGD","Ealing - Cleveland",14558,52.3,34.8,21.5,5.6,13.1,0.9,81.35,21.7062783349361,11.9,36.9,39.6,15.1
"454"," 00AC","00ACGC","Barnet - East Barnet",16137,59,34.9,9.8,4.3,17.1,1.2,82.5,20.7225630538514,13.7,23.4,23.4,7.2
"455"," 00AL","00ALHG","Greenwich - Woolwich Riverside",19120,137.4,34.9,50,10.4,19.9,0.5,77,23.6297071129707,6.2,49,39.4,13.3
"456"," 00BG","00BGGG","Tower Hamlets - Millwall",23084,86.5,35,20.6,5.1,11.4,0.5,89.3,15.5605614278288,3.5,47.6,52.1,23.4
"457"," 00AT","00ATGB","Hounslow - Chiswick Riverside",11543,72.1,35.2,18.5,2.9,9.2,1,83.8,18.7559559906437,11.8,19.1,30.3,8.9
"458"," 00BC","00BCGQ","Redbridge - Roding",12044,69.1,35.7,15.9,5,15.9,1.1,82.05,22.7499169711059,10.3,37.2,28.2,8.7
"459"," 00AD","00ADGA","Bexley - Barnehurst",10418,41.8,35.8,10.7,3.5,23.1,1.3,82.2,18.9671722019581,18.2,9.8,8,1.3
"460"," 00BC","00BCGA","Redbridge - Bridge",11658,62.8,36,13.8,4.5,19.9,1.1,81.5,20.0291645222165,13.4,28.1,21.6,6.7
"461"," 00AJ","00AJGN","Ealing - Hobbayne",14229,65.4,36.1,25.2,5.6,18.2,0.9,81.75,22.6017288635884,11.3,37.7,40.7,17.2
"462"," 00AD","00ADGK","Bexley - Danson Park",10864,59.1,36.3,8.9,3.3,23,1.2,82.05,18.5014727540501,17.5,16.2,13.2,3.1
"463"," 00AT","00ATGD","Hounslow - Feltham North",11563,110.8,36.4,22.3,4.6,26.1,1.1,75.4,19.9688662111909,13.6,38.9,35.7,14.1
"464"," 00BA","00BAGG","Merton - Longthornton",10024,58.1,36.6,10.6,6,19.1,1,81.1,21.6380686352753,10.8,58.2,42,14.5
"465"," 00AE","00AEHF","Brent - Willesden Green",15587,127.5,36.8,26.8,8.9,18.5,0.5,83.15,19.1634054019375,7.6,52.7,56.3,25.9
"466"," 00AD","00ADGP","Bexley - Lesnes Abbey",11346,57.2,36.9,21,5.3,23.8,1.1,81.95,20.9236735413362,15.6,31,23.3,5
